,qber,final error rate,error estimate,initial key length,key length after sifting,key length after err est,key length after err corr
0,0.01,0.0009305210918114144,0.006594758525978485,10000,4916,3858,3224
1,0.02,0.001218769043266301,0.013015607580824973,10000,5033,4030,3282
2,0.03,0.004282655246252677,0.017269148174659986,10000,5021,3985,2802
3,0.04,0.006377551020408163,0.03485576923076923,10000,5024,4044,1568
4,0.05,0.01060070671378092,0.0374329896109723,10000,4979,3962,1132
5,0.060000000000000005,0.008435259384226065,0.036511156186612576,10000,4927,3941,2371
6,0.06999999999999999,0.008101851851851851,0.05133477811160912,10000,4941,3953,864
7,0.08,0.018433179723502304,0.06093763666579201,10000,4977,3907,1953
8,0.09,0.021956087824351298,0.07375048355899419,10000,5026,4009,2004
9,0.09999999999999999,0.01417004048582996,0.052954542833085344,10000,4976,3956,494
10,0.11,0.020186335403726708,0.07961004626569729,10000,4909,3865,1932
11,0.12,0.01245019920318725,0.06892631416679512,10000,4984,4017,2008
12,0.13,0.0163265306122449,0.07982478202548625,10000,4899,3922,980
13,0.14,0.031840796019900496,0.10869202709744659,10000,5002,4022,1005
14,0.15000000000000002,0.015873015873015872,0.11002673796791443,10000,5102,4064,63
15,0.01,0.003706645485835319,0.002026810576378108,10000,5025,4038,3777
16,0.02,0.0017482517482517483,0.014288718371270642,10000,4905,3938,2860
17,0.03,0.009906152241918665,0.020807932139622377,10000,5001,4042,1918
18,0.04,0.008928571428571428,0.02997881736258213,10000,5036,4034,1456
19,0.05,0.00909090909090909,0.0410269464344158,10000,5054,4005,1210
20,0.060000000000000005,0.0058309037900874635,0.04301124838650194,10000,5039,4018,2401
21,0.06999999999999999,0.006076388888888889,0.039270059081379836,10000,5058,4033,2304
22,0.08,0.006422018348623854,0.04142710472279261,10000,5027,4020,2180
23,0.09,0.010365251727541954,0.06719530394985573,10000,5057,4053,2026
24,0.09999999999999999,0.01694915254237288,0.07014404002070036,10000,5068,4013,2006
25,0.11,0.021589793915603533,0.08037972590963946,10000,5062,4078,1019
26,0.12,0.026835443037974683,0.08361227486718784,10000,5006,3951,1975
27,0.13,0.02286282306163022,0.08886788489813065,10000,5095,4026,1006
28,0.14,0.03643724696356275,0.09669201801668759,10000,4916,3956,494
29,0.15000000000000002,0.02001000500250125,0.09479671413537985,10000,4999,3999,1999
30,0.01,0.0013950892857142857,0.0037406529879020186,10000,5105,4063,3584
31,0.02,0.0025188916876574307,0.01887887600378176,10000,5060,4058,3176
32,0.03,0.003843466107617051,0.019350055463744822,10000,5011,3980,2862
33,0.04,0.003092783505154639,0.028393568348638952,10000,5048,4062,1940
34,0.05,0.008649367930805056,0.032233886112095544,10000,4941,3949,1503
35,0.060000000000000005,0.008126410835214447,0.044669424038520894,10000,5075,4089,2215
36,0.06999999999999999,0.011225444340505144,0.05485207781742834,10000,4988,3950,1069
37,0.08,0.010273972602739725,0.054205327055347835,10000,5048,4028,584
38,0.09,0.013951170901843548,0.06264502535843747,10000,4966,3960,2007
39,0.09999999999999999,0.014141414141414142,0.06710197592550535,10000,4990,3962,990
40,0.11,0.0273972602739726,0.08518773946360153,10000,4965,3943,1971
41,0.12,0.02936784469885515,0.0959223133767535,10000,5030,4019,2009
42,0.13,0.018426294820717132,0.0765074211502783,10000,5035,4017,2008
43,0.14,0.027888446215139442,0.09021498255177157,10000,4989,4018,1004
44,0.15000000000000002,0.015338941118258289,0.08189410733618602,10000,5008,4043,2021
45,0.01,0.0034955633234740524,0.00275283227410887,10000,5149,4072,3719
46,0.02,0.0033875338753387536,0.010895181181157631,10000,4915,3905,2952
47,0.03,0.005208333333333333,0.01727402759943436,10000,4976,3983,2304
48,0.04,0.005188067444876783,0.02620123890842123,10000,4899,3861,1542
49,0.05,0.01178318931657502,0.03562782947686117,10000,4898,3889,1273
50,0.060000000000000005,0.006782215523737754,0.046702960606802055,10000,4998,3974,1327
51,0.06999999999999999,0.01330885727397889,0.04982174688057041,10000,5014,4009,2179
52,0.08,0.012640449438202247,0.04836995775995402,10000,4999,3969,2136
53,0.09,0.01919191919191919,0.0641179061742897,10000,5006,3962,990
54,0.09999999999999999,0.02594810379241517,0.06136621315192743,10000,5006,4012,501
55,0.11,0.02197802197802198,0.07254716427544523,10000,5050,4005,2002
56,0.12,0.011904761904761904,0.0773725008634253,10000,5057,4036,504
57,0.13,0.019677093844601413,0.06976590561909088,10000,4952,3965,1982
58,0.14,0.019558676028084254,0.08915866741953699,10000,4912,3989,1994
59,0.15000000000000002,0.020080321285140562,0.09513483146067415,10000,5026,3992,249
60,0.01,0.0009049773755656109,0.006969890847050157,10000,4959,3943,3315
61,0.02,0.0028704700394689632,0.011149377593360996,10000,4970,3988,2787
62,0.03,0.005497251374312844,0.020697434224831484,10000,5028,4013,2001
63,0.04,0.009289176090468497,0.03360973647310635,10000,5024,4012,2476
64,0.05,0.009358288770053475,0.036154958226167065,10000,5068,4092,1496
65,0.060000000000000005,0.0075440067057837385,0.04458789409673496,10000,5066,4032,2386
66,0.06999999999999999,0.010879419764279238,0.047955924624720536,10000,5061,4060,2206
67,0.08,0.008653846153846154,0.055848194200578904,10000,4939,3935,1040
68,0.09,0.02066532258064516,0.06159212607566281,10000,5020,3969,1984
69,0.09999999999999999,0.01691542288557214,0.06652997055966303,10000,5061,4022,1005
70,0.11,0.02147239263803681,0.06278845722991441,10000,4949,3914,978
71,0.12,0.004,0.08318032786885246,10000,4996,4008,250
72,0.13,0.00398406374501992,0.08384372183953691,10000,5052,4024,251
73,0.14,0.024365987071108902,0.08063547121902559,10000,5052,4023,2011
74,0.15000000000000002,0.02636916835699797,0.12644120487745986,10000,4975,3945,1972
75,0.01,0.0014216661927779358,0.009437266585815424,10000,5023,4067,3517
